"", "Fixed line" , "Belgium [Base]" ,  32486 , "0.1"
"", "Fixed line" , "Belgium [Base]" ,  32487 , "0.1"
"", "Fixed line" , "Belgium [Base]" ,  32488 , "0.1"
"", "Fixed line" , "Belgium" ,  32 , "0.1"
"", "Fixed line" , "Belgium [Mobistar]" ,  32494 , "0.1"
"", "Fixed line" , "Belgium [Mobistar]" ,  32495 , "0.1"
"", "Fixed line" , "Belgium [Mobistar]" ,  32496 , "0.1"
"", "Fixed line" , "Belgium [Mobistar]" ,  32497 , "0.1"
"", "Fixed line" , "Belgium [Mobistar]" ,  32498 , "0.1"
"", "Fixed line" , "Belgium [Mobistar]" ,  32499 , "0.1"
"", "Mobile line" , "Belgium" ,  3245 , "0.1"
"", "Mobile line" , "Belgium" ,  3247 , "0.1"
"", "Mobile line" , "Belgium" ,  3248 , "0.1"
"", "Mobile line" , "Belgium" ,  3249 , "0.1"
"", "Fixed line" , "Belgium [Proximus]" ,  32472 , "0.1"
"", "Fixed line" , "Belgium [Proximus]" ,  32473 , "0.1"
"", "Fixed line" , "Belgium [Proximus]" ,  32474 , "0.1"
"", "Fixed line" , "Belgium [Proximus]" ,  32475 , "0.1"
"", "Fixed line" , "Belgium [Proximus]" ,  32476 , "0.1"
"", "Fixed line" , "Belgium [Proximus]" ,  32477 , "0.1"
"", "Fixed line" , "Belgium [Proximus]" ,  32478 , "0.1"
"", "Fixed line" , "Belgium [Proximus]" ,  32479 , "0.1"
"", "Fixed line" , "Belize" ,  501 , "0.1"
"", "Mobile line" , "Belize" ,  5016 , "0.1"
"", "Fixed line" , "Benin" ,  229 , "0.1"
"", "Mobile line" , "Benin" ,  22990 , "0.1"
"", "Mobile line" , "Benin" ,  22991 , "0.1"
"", "Mobile line" , "Benin" ,  22992 , "0.1"
"", "Mobile line" , "Benin" ,  22993 , "0.1"
"", "Mobile line" , "Benin" ,  22995 , "0.1"
"", "Mobile line" , "Benin" ,  22996 , "0.1"
"", "Mobile line" , "Benin" ,  22997 , "0.1"
"", "Fixed line" , "Bermuda" ,  1441 , "0.1"
"", "Mobile line" , "Bermuda" ,  14413 , "0.1"
"", "Mobile line" , "Bermuda" ,  144150 , "0.1"
"", "Mobile line" , "Bermuda" ,  144151 , "0.1"
"", "Mobile line" , "Bermuda" ,  144152 , "0.1"
"", "Mobile line" , "Bermuda" ,  144153 , "0.1"
"", "Mobile line" , "Bermuda" ,  144159 , "0.1"
"", "Mobile line" , "Bermuda" ,  14417 , "0.1"
"", "Fixed line" , "Bhutan" ,  975 , "0.1"
"", "Mobile line" , "Bhutan" ,  97517 , "0.1"
"", "Fixed line" , "Bolivia" ,  591 , "0.1"
"", "Mobile line" , "Bolivia" ,  5917 , "0.1"
"", "Fixed line" , "Bosnia-Herzegovina" ,  387 , "0.1"
"", "Mobile line" , "Bosnia-Herzegovina" ,  3876 , "0.1"
"", "Fixed line" , "Botswana" ,  267 , "0.1"
"", "Mobile line" , "Botswana" ,  26771 , "0.1"
"", "Mobile line" , "Botswana" ,  26772 , "0.1"
"", "Mobile line" , "Botswana" ,  26773 , "0.1"
"", "Mobile line" , "Botswana" ,  26774 , "0.1"
"", "Fixed line" , "Brazil" ,  55 , "0.1"
"", "Mobile line" , "Brazil" ,  55116 , "0.1"
"", "Mobile line" , "Brazil" ,  55117 , "0.1"
"", "Mobile line" , "Brazil" ,  55118 , "0.1"
"", "Mobile line" , "Brazil" ,  55119 , "0.1"
"", "Mobile line" , "Brazil" ,  55127 , "0.1"
"", "Mobile line" , "Brazil" ,  55128 , "0.1"
"", "Mobile line" , "Brazil" ,  55129 , "0.1"
"", "Mobile line" , "Brazil" ,  55137 , "0.1"
"", "Mobile line" , "Brazil" ,  55138 , "0.1"
"", "Mobile line" , "Brazil" ,  55139 , "0.1"
"", "Mobile line" , "Brazil" ,  55147 , "0.1"
"", "Mobile line" , "Brazil" ,  55148 , "0.1"
"", "Mobile line" , "Brazil" ,  55149 , "0.1"
"", "Mobile line" , "Brazil" ,  55157 , "0.1"
"", "Mobile line" , "Brazil" ,  55158 , "0.1"
"", "Mobile line" , "Brazil" ,  55159 , "0.1"
"", "Mobile line" , "Brazil" ,  55167 , "0.1"
"", "Mobile line" , "Brazil" ,  55168 , "0.1"
"", "Mobile line" , "Brazil" ,  55169 , "0.1"
"", "Mobile line" , "Brazil" ,  55177 , "0.1"
"", "Mobile line" , "Brazil" ,  55178 , "0.1"
"", "Mobile line" , "Brazil" ,  55179 , "0.1"
"", "Mobile line" , "Brazil" ,  55187 , "0.1"
"", "Mobile line" , "Brazil" ,  55188 , "0.1"
"", "Mobile line" , "Brazil" ,  55189 , "0.1"
"", "Mobile line" , "Brazil" ,  55197 , "0.1"
"", "Mobile line" , "Brazil" ,  55198 , "0.1"
"", "Mobile line" , "Brazil" ,  55199 , "0.1"
"", "Mobile line" , "Brazil" ,  55217 , "0.1"
"", "Mobile line" , "Brazil" ,  55218 , "0.1"
"", "Mobile line" , "Brazil" ,  55219 , "0.1"
"", "Mobile line" , "Brazil" ,  55227 , "0.1"
"", "Mobile line" , "Brazil" ,  55228 , "0.1"
"", "Mobile line" , "Brazil" ,  55229 , "0.1"
"", "Mobile line" , "Brazil" ,  55239 , "0.1"
"", "Mobile line" , "Brazil" ,  55247 , "0.1"
"", "Mobile line" , "Brazil" ,  55248 , "0.1"
"", "Mobile line" , "Brazil" ,  55249 , "0.1"
"", "Mobile line" , "Brazil" ,  55257 , "0.1"
"", "Mobile line" , "Brazil" ,  55258 , "0.1"
"", "Mobile line" , "Brazil" ,  55259 , "0.1"
"", "Mobile line" , "Brazil" ,  55267 , "0.1"
"", "Mobile line" , "Brazil" ,  55268 , "0.1"
"", "Mobile line" , "Brazil" ,  55269 , "0.1"
"", "Mobile line" , "Brazil" ,  55277 , "0.1"
"", "Mobile line" , "Brazil" ,  55278 , "0.1"
"", "Mobile line" , "Brazil" ,  55279 , "0.1"
"", "Mobile line" , "Brazil" ,  55287 , "0.1"
